2026-06-10 10:44:28.716 [START] Server from 0.0.0.0:8888 to :0, length=0 bytes
2026-06-10 10:44:58.894 [ACCEPT] New client from 127.0.0.1:56870 to 127.0.0.1:8888, length=0 bytes
2026-06-10 10:44:58.895 [RECV] Initialization (Type=1) N=2 from 127.0.0.1:56870 to 127.0.0.1:8888, length=6 bytes
2026-06-10 10:44:58.895 [SEND] Agree (Type=2) from 127.0.0.1:8888 to 127.0.0.1:56870, length=2 bytes
2026-06-10 10:44:58.895 [RECV] ReverseRequest (Type=3) Block 1 from 127.0.0.1:56870 to 127.0.0.1:8888, length=96 bytes
2026-06-10 10:44:58.896 [SEND] ReverseAnswer (Type=4) Block 1 from 127.0.0.1:8888 to 127.0.0.1:56870, length=96 bytes
2026-06-10 10:44:58.898 [RECV] ReverseRequest (Type=3) Block 2 from 127.0.0.1:56870 to 127.0.0.1:8888, length=91 bytes
2026-06-10 10:44:58.898 [SEND] ReverseAnswer (Type=4) Block 2 from 127.0.0.1:8888 to 127.0.0.1:56870, length=91 bytes
2026-06-10 10:44:58.898 [DISCONNECT] Client from 127.0.0.1:56870 to 127.0.0.1:8888, length=0 bytes
2026-06-10 10:48:58.201 [ACCEPT] New client from 127.0.0.1:57871 to 127.0.0.1:8888, length=0 bytes
2026-06-10 10:48:58.201 [RECV] Initialization (Type=1) N=2 from 127.0.0.1:57871 to 127.0.0.1:8888, length=6 bytes
2026-06-10 10:48:58.201 [SEND] Agree (Type=2) from 127.0.0.1:8888 to 127.0.0.1:57871, length=2 bytes
2026-06-10 10:48:58.202 [RECV] ReverseRequest (Type=3) Block 1 from 127.0.0.1:57871 to 127.0.0.1:8888, length=96 bytes
2026-06-10 10:48:58.202 [SEND] ReverseAnswer (Type=4) Block 1 from 127.0.0.1:8888 to 127.0.0.1:57871, length=96 bytes
2026-06-10 10:48:58.203 [RECV] ReverseRequest (Type=3) Block 2 from 127.0.0.1:57871 to 127.0.0.1:8888, length=22 bytes
2026-06-10 10:48:58.203 [SEND] ReverseAnswer (Type=4) Block 2 from 127.0.0.1:8888 to 127.0.0.1:57871, length=22 bytes
2026-06-10 10:48:58.203 [DISCONNECT] Client from 127.0.0.1:57871 to 127.0.0.1:8888, length=0 bytes
2026-06-10 10:50:36.150 [ACCEPT] New client from 127.0.0.1:51373 to 127.0.0.1:8888, length=0 bytes
2026-06-10 10:50:36.151 [RECV] Initialization (Type=1) N=1 from 127.0.0.1:51373 to 127.0.0.1:8888, length=6 bytes
2026-06-10 10:50:36.151 [SEND] Agree (Type=2) from 127.0.0.1:8888 to 127.0.0.1:51373, length=2 bytes
2026-06-10 10:50:36.151 [RECV] ReverseRequest (Type=3) Block 1 from 127.0.0.1:51373 to 127.0.0.1:8888, length=68 bytes
2026-06-10 10:50:36.151 [SEND] ReverseAnswer (Type=4) Block 1 from 127.0.0.1:8888 to 127.0.0.1:51373, length=68 bytes
2026-06-10 10:50:36.151 [DISCONNECT] Client from 127.0.0.1:51373 to 127.0.0.1:8888, length=0 bytes
